	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
288	Hivel289	HVS	15.06	13.96	12.61	G2	3.2	-7.1	0.4	3.0	7.7	5368	5404	43	38	-1.26	-1.27	1	490	472	-18	-130	6	624	608	600	571	538	518	494	0.29	0.462	0.013000000000000001	0.02	0.028999999999999998	0.07200000000000001	0.17600000000000002	0.28800000000000003	0.46299999999999997	2.534250108400471	2.770244292367231e+27	7.216057026223577	3.500109533033772e+30
290	Hivel291	RS	14.04	14.66	13.63	F2	7.6	-3.8	3.6	5.0	7.2	4999	5254	92	46	-2.22	-1.88	-283	490	-348	-232	252	-277	625	609	601	569	537	523	499	0.0	1.0	0.10099999999999999	0.11800000000000001	0.131	0.203	0.299	0.35	0.45799999999999996	-0.3640679614039577	3.998023077895552e+28	104.14230471204878	7.504434757915875e+30
291	Hivel292	RS	14.47	15.69	13.49	G0	5.9	-4.0	1.8	3.8	5.8	5165	5309	254	84	-1.68	-1.49	-320	490	57	-440	-203	-315	643	623	619	587	554	543	514	0.0	0.584	0.107	0.131	0.135	0.204	0.275	0.3	0.402	0.615739941789279	1.6215193493130897e+28	42.23806588468585	5.798824167180818e+30
292	Hivel293	OUT	13.56	14.0	12.97	G3	6.4	-7.0	0.2	6.3	9.4	5038	5106	31	37	-0.91	-0.86	-45	489	467	-98	-110	-40	604	593	579	548	518	498	479	0.023	0.34299999999999997	0.098	0.11800000000000001	0.14400000000000002	0.222	0.349	0.44799999999999995	0.546	-0.47089986991943533	4.411416467905177e+28	114.91056181050214	7.718401163544077e+30
293	Hivel294	RS	14.04	14.29	13.61	A2V	6.8	-3.0	2.2	3.7	5.3	11338	7629	47	43	0.35	-1.17	-82	489	-264	6	411	-77	651	628	627	594	561	553	521	0.11599999999999999	1.0	0.10400000000000001	0.127	0.132	0.18600000000000003	0.26	0.27899999999999997	0.366	-0.12254456353118215	3.200633433550732e+28	83.3715403373465	7.042312814967795e+30
294	Hivel295	RS	14.07	17.85	15.24	G2	4.1	-5.3	0.3	2.9	6.1	5201	5243	29	36	-1.44	-1.41	7	489	-153	431	174	13	643	622	618	587	555	540	511	0.0	1.0	0.0	0.003	0.003	0.018000000000000002	0.055999999999999994	0.091	0.26899999999999996	1.006080716401323	1.1318420521485039e+28	29.48273123595999	5.232744934580635e+30
295	Hivel296	OUT	15.65	19.51	16.87	F6	1.6	-9.2	-1.1	0.6	9.2	5645	5588	125	54	-1.68	-1.75	102	489	370	-297	-121	108	612	598	587	563	529	500	481	0.0	0.355	0.013000000000000001	0.019	0.034	0.08199999999999999	0.222	0.419	0.5770000000000001	4.629400086720375	4.0221482821209916e+26	1.0477072889088284	2.0166750422901988e+30
296	Hivel297	RS	16.19	14.98	14.1	F2	2.6	-8.6	-1.6	2.0	9.0	5788	5749	121	41	-1.23	-1.27	179	489	-481	-25	-83	184	612	599	588	561	528	503	483	0.040999999999999995	0.753	0.156	0.177	0.192	0.264	0.361	0.451	0.53	4.115133260145912	6.458992913542989e+26	1.6824675471588928	2.3089220713516063e+30
297	Hivel298	OUT	13.71	18.2	16.0	G5	11.4	-3.7	10.2	2.7	11.1	4279	4283	37	16	-0.53	-0.47	-92	488	460	2	-163	-86	593	578	568	542	510	482	466	0.0	0.263	0.201	0.233	0.249	0.318	0.426	0.513	0.564	-1.5745242566823627	1.219067672737308e+29	317.5482346281084	1.0319433306833365e+31
298	Hivel299	RS	15.67	15.11	14.44	F0	2.8	-7.8	-0.6	2.7	8.2	6329	6197	250	60	-1.16	-1.24	353	488	387	88	282	358	619	604	594	566	534	511	489	0.0	1.0	0.005	0.008	0.009000000000000001	0.03	0.1	0.23199999999999998	0.485	3.4342098432889028	1.20930033951368e+27	3.1500399570556916	2.7620344704953234e+30
299	Hivel300	RS	13.08	16.35	15.69	G4	6.2	-7.2	3.7	4.9	9.5	4653	4747	77	55	-1.32	-1.16	43	488	-9	-230	429	49	604	592	580	550	519	498	479	0.0	1.0	0.048	0.06	0.08199999999999999	0.14800000000000002	0.305	0.43	0.546	-0.8819584474912698	6.441714772204671e+28	167.79668591311986	8.600138996258407e+30
300	Hivel301	HRS	14.39	14.71	13.89	F5	10.2	-10.3	4.8	8.7	14.3	5540	5690	28	41	-1.65	-1.71	250	488	70	-42	481	256	567	562	542	514	486	459	447	0.0	0.997	0.177	0.183	0.243	0.341	0.505	0.67	0.778	-0.6530008588095875	5.216971397135475e+28	135.89401920123666	8.097274996097019e+30
302	Hivel303	RS	13.26	16.85	14.2	G5	10.1	-1.3	6.9	2.9	7.6	4508	4564	38	23	-0.78	-0.67	-56	487	395	-255	128	-51	625	605	601	571	539	518	495	0.0	0.9740000000000001	0.201	0.237	0.257	0.312	0.381	0.425	0.48	-1.7616068689132138	1.4483077668581889e+29	377.2617261938497	1.084018561352221e+31
303	Hivel304	OUT	13.98	16.93	16.07	F6	6.0	-7.8	-3.3	5.0	9.8	5328	5320	22	44	-2.45	-2.49	-200	487	-173	-95	-444	-195	601	590	577	548	517	494	476	0.0	0.251	0.16699999999999998	0.183	0.213	0.27	0.36200000000000004	0.45799999999999996	0.552	0.08924374808178293	2.633422930653922e+28	68.5965858466768	6.660562896804816e+30
304	Hivel305	OUT	16.36	18.54	15.99	F5	2.4	-9.2	0.9	-1.9	9.5	5991	5978	85	47	-1.54	-1.59	20	487	-428	155	171	26	608	595	583	557	524	497	479	0.0	0.353	0.09699999999999999	0.11599999999999999	0.14300000000000002	0.209	0.318	0.436	0.557	4.458943791441969	4.7058772593759155e+26	1.2258080904860422	2.109194562750698e+30
